-7.79,10.42,0.00-7.00,9.29,0.00
-7.21,9.14,0.00
-7.12,9.31,0.00
-7.14,9.35,0.00
-7.15,9.35,0.00
-7.20,9.40,0.00
-7.21,9.39,0.00
-7.23,9.41,0.00
-7.23,9.42,0.00
-7.26,9.46,0.00
-7.24,9.46,0.00
-7.26,9.45,0.00
-7.36,9.43,0.00
-4.23,6.28,0.00
-4.50,6.55,0.00
-4.66,6.78,0.00
-4.78,6.92,0.00
-4.86,7.06,0.00
-5.00,7.18,0.00
-5.12,7.28,0.00
-5.23,7.38,0.00
-5.33,7.47,0.00
-5.39,7.57,0.00
-5.46,7.71,0.00
-5.55,7.75,0.00
-5.61,7.79,0.00
-5.66,7.83,0.00
-5.72,7.86,0.00
-5.77,7.91,0.00
-5.84,7.94,0.00
-5.87,7.96,0.00
-5.94,8.02,0.00
-5.98,8.04,0.00
-6.00,8.05,0.00
-6.02,8.03,0.00
-6.04,8.05,0.00
-7.31,10.68,0.00
-7.30,10.58,0.00
-7.28,10.51,0.00
-7.28,10.47,0.00
-7.28,10.42,0.00
-7.29,10.34,0.00
-7.29,10.29,0.00
-7.28,10.24,0.00
-7.29,10.19,0.00
-7.29,10.14,0.00
-7.29,10.09,0.00
-7.29,10.05,0.00
-7.28,10.01,0.00
-7.28,9.97,0.00
-7.29,9.94,0.00
-7.28,9.91,0.00
-7.27,9.88,0.00
-7.29,9.83,0.00
-7.25,9.82,0.00
-7.15,9.87,0.00
-7.17,9.82,0.00
-7.18,9.78,0.00
-7.19,9.74,0.00
-7.20,9.70,0.00
-7.21,9.67,0.00
-7.19,9.61,0.00
-7.16,9.61,0.00
-8.05,10.43,0.00
-8.07,10.36,0.00
-8.10,10.30,0.00
-8.14,10.27,0.00
-8.13,10.23,0.00
-8.10,10.19,0.00
-8.06,10.20,0.00
-8.07,10.15,0.00
-8.13,10.02,0.00
-8.17,9.91,0.00
-8.15,9.73,0.00
-8.16,9.65,0.00
-8.09,9.64,0.00
-8.06,9.58,0.00
-8.05,9.55,0.00
-8.01,9.47,0.00
-7.96,9.42,0.00
-7.91,9.35,0.00
-7.87,9.27,0.00
-7.83,9.21,0.00
-7.81,9.15,0.00
-7.78,9.11,0.00
-7.75,9.06,0.00
-6.78,7.09,0.00
-6.76,7.08,0.00
-6.75,7.03,0.00
-6.72,7.01,0.00
-6.65,6.92,0.00
-6.58,6.75,0.00
-6.49,6.60,0.00
-6.39,6.66,0.00
-6.22,6.67,0.00
-6.05,6.64,0.00
-5.95,6.88,0.00
-5.86,6.75,0.00
-5.79,6.82,0.00
-5.72,6.72,0.00
-5.54,6.72,0.00
-5.47,6.68,0.00
-5.33,6.63,0.00
-5.22,6.58,0.00
-5.15,6.46,0.00
-5.16,6.29,0.00
-5.02,6.23,0.00
-4.89,6.15,0.00
-4.78,6.06,0.00
-4.65,5.98,0.00
-4.53,5.90,0.00
-4.41,5.84,0.00
-4.45,5.70,0.00
-4.33,5.65,0.00
-4.19,5.57,0.00
-4.03,5.49,0.00
-3.92,5.39,0.00
-3.81,5.30,0.00
-3.73,5.22,0.00
-3.63,5.08,0.00
-3.53,4.98,0.00
-3.38,4.98,0.00
-3.22,4.95,0.00
-3.14,4.95,0.00
-3.02,4.92,0.00
-2.93,4.85,0.00
-2.83,4.79,0.00
-2.74,4.70,0.00
-2.61,4.66,0.00
-2.57,4.59,0.00
-2.49,4.56,0.00
-2.40,4.50,0.00
-2.26,4.45,0.00
-2.21,4.41,0.00
-2.18,4.33,0.00
-2.04,4.29,0.00
-1.97,4.20,0.00
-1.86,4.13,0.00
-1.72,4.10,0.00
-1.64,4.01,0.00
-1.58,4.01,0.00
-1.51,4.08,0.00
-1.44,4.15,0.00
-1.35,3.95,0.00
-1.34,3.84,0.00
-1.40,3.77,0.00
-1.31,3.45,0.00
-1.26,3.48,0.00
-1.21,3.34,0.00
-1.10,3.32,0.00
-1.00,3.27,0.00
-0.95,3.22,0.00
-0.91,3.22,0.00
-0.82,3.18,0.00
-0.80,3.18,0.00
-0.86,3.13,0.00
-0.89,3.09,0.00
-0.94,3.06,0.00
-0.98,3.05,0.00
-0.99,3.05,0.00
-0.98,3.07,0.00
-1.00,3.07,0.00
-0.88,3.08,0.00
-0.89,3.05,0.00
-0.89,3.07,0.00
-0.90,3.07,0.00
-0.86,3.04,0.00
-0.87,3.04,0.00
-0.89,3.03,0.00
-0.97,3.02,0.00
-0.95,3.03,0.00
-1.06,3.04,0.00
-1.10,3.03,0.00
-1.08,3.04,0.00
-1.05,3.02,0.00
-1.04,2.97,0.00
-1.06,2.95,0.00
-1.12,2.95,0.00
-1.17,2.92,0.00
-1.13,2.92,0.00
-1.18,2.90,0.00
-1.23,2.88,0.00
-1.28,2.87,0.00
-1.25,2.87,0.00
-1.20,2.90,0.00
-1.23,2.87,0.00
-1.25,2.88,0.00
-1.25,2.88,0.00
-1.35,2.86,0.00
-1.32,2.85,0.00
-1.34,2.81,0.00
-1.40,2.83,0.00
-1.44,2.80,0.00
-1.51,2.83,0.00
-1.60,2.79,0.00
-1.62,2.78,0.00
-1.71,2.77,0.00
-1.75,2.73,0.00
-1.75,2.72,0.00
-1.77,2.74,0.00
-1.93,2.70,0.00
-1.97,2.69,0.00
-2.06,2.61,0.00
-2.09,2.62,0.00
-2.03,2.63,0.00
-1.90,2.68,0.00
-1.90,2.72,0.00
-1.85,2.71,0.00
-1.78,2.70,0.00
-1.78,2.66,0.00
-1.69,2.64,0.00
-1.64,2.65,0.00
-1.59,2.68,0.00
-1.50,2.71,0.00
-1.46,2.69,0.00
-1.38,2.71,0.00
-1.37,2.73,0.00
-1.33,2.73,0.00
-1.32,2.78,0.00
-1.20,2.80,0.00
-1.12,2.81,0.00
-0.95,2.82,0.00
-0.85,2.82,0.00
-0.83,2.81,0.00
-0.77,2.81,0.00
-0.73,2.88,0.00
-0.66,2.90,0.00
-0.57,2.92,0.00
-0.49,2.95,0.00
-0.48,2.97,0.00
-0.41,2.99,0.00
-0.28,3.06,0.00
-0.24,3.07,0.00
-0.18,3.09,0.00
-0.04,3.10,0.00
0.02,3.11,0.00
0.10,3.11,0.00
0.13,3.11,0.00
0.20,3.12,0.00
0.21,3.12,0.00
0.29,3.14,0.00
0.42,3.16,0.00
0.49,3.18,0.00
0.52,3.20,0.00
0.65,3.25,0.00
0.71,3.26,0.00
0.81,3.27,0.00
0.91,3.33,0.00
0.95,3.35,0.00
0.94,3.33,0.00
0.93,3.33,0.00
1.05,3.37,0.00
1.14,3.40,0.00
1.18,3.41,0.00
1.19,3.42,0.00
1.21,3.42,0.00
1.32,3.41,0.00
1.39,3.44,0.00
1.44,3.46,0.00
1.67,3.51,0.00
1.64,3.51,0.00
1.67,3.50,0.00
1.73,3.49,0.00
1.74,3.50,0.00
1.77,3.51,0.00
1.78,3.51,0.00
1.83,3.52,0.00
1.86,3.54,0.00
1.96,3.51,0.00
1.96,3.51,0.00
1.98,3.51,0.00
2.01,3.53,0.00
2.01,3.54,0.00
2.06,3.57,0.00
2.06,3.58,0.00
2.03,3.55,0.00
2.06,3.55,0.00
2.11,3.56,0.00
2.10,3.56,0.00
2.16,3.57,0.00
2.20,3.56,0.00
2.19,3.53,0.00
2.22,3.53,0.00
2.23,3.53,0.00
2.17,3.54,0.00
2.14,3.54,0.00
2.14,3.55,0.00
2.16,3.57,0.00
2.21,3.57,0.00
2.27,3.59,0.00
2.27,3.59,0.00
2.25,3.59,0.00
2.25,3.60,0.00
2.29,3.60,0.00
2.26,3.59,0.00
2.31,3.60,0.00
2.31,3.60,0.00
2.31,3.58,0.00
